"Page Title","Post Title","Published Date","Found Date","Channel","Link","Description","Category","Author","Content"
"Mobility Site","Ces 2011","2011-01-13T19:50:28Z","2011-01-13T19:50:28Z","www.mobilitysite.com","http://www.mobilitysite.com/boards/mobility-site-news/282708-ces-2011-a.html","Mobile News, Reviews, and Views.","Mobility Site News","News Boy","Join Date: Apr 2005 Posts: 1,984 You may not post new threads You may not post replies You may not Powered by vBulletin® Version 3.8.2 Copyright ©2000 - 2011, Jelsoft Enterprises Ltd. Top Copyright © 2003-2009, LeckMedia, LLC - Republishing full content from our feeds is not permitted without explicit permission of the LeckMedia, LLC."
"Mobility Site","Ces 2011","2011-01-13T19:50:28Z","2011-01-13T19:50:28Z","www.mobilitysite.com","http://www.mobilitysite.com/boards/mobility-site-news/282708-ces-2011-a.html","Mobile News, Reviews, and Views.","Mobility Site News","News Boy","Join Date: Apr 2005 Posts: 1,984 You may not post new threads You may not post replies You may not Powered by vBulletin® Version 3.8.2 Copyright ©2000 - 2011, Jelsoft Enterprises Ltd. Top Copyright © 2003-2009, LeckMedia, LLC - Republishing full content from our feeds is not permitted without explicit permission of the LeckMedia, LLC."
"Mobility Site","Ces 2011","2011-01-13T19:50:28Z","2011-01-13T19:50:28Z","www.mobilitysite.com","http://www.mobilitysite.com/boards/mobility-site-news/282708-ces-2011-a.html","Mobile News, Reviews, and Views.","Mobility Site News","News Boy","Join Date: Apr 2005 Posts: 1,984 You may not post new threads You may not post replies You may not Powered by vBulletin® Version 3.8.2 Copyright ©2000 - 2011, Jelsoft Enterprises Ltd. Top Copyright © 2003-2009, LeckMedia, LLC - Republishing full content from our feeds is not permitted without explicit permission of the LeckMedia, LLC."
"Mobility Site","Ces 2011","2011-01-13T19:50:28Z","2011-01-13T19:50:28Z","www.mobilitysite.com","http://www.mobilitysite.com/boards/mobility-site-news/282708-ces-2011-a.html","Mobile News, Reviews, and Views.","Mobility Site News","News Boy","Join Date: Apr 2005 Posts: 1,984 You may not post new threads You may not post replies You may not Powered by vBulletin® Version 3.8.2 Copyright ©2000 - 2011, Jelsoft Enterprises Ltd. Top Copyright © 2003-2009, LeckMedia, LLC - Republishing full content from our feeds is not permitted without explicit permission of the LeckMedia, LLC."
"Mobility Site","Ces 2011","2011-01-13T19:50:28Z","2011-01-13T19:50:28Z","www.mobilitysite.com","http://www.mobilitysite.com/boards/mobility-site-news/282708-ces-2011-a.html","Mobile News, Reviews, and Views.","Mobility Site News","News Boy","Join Date: Apr 2005 Posts: 1,984 You may not post new threads You may not post replies You may not Powered by vBulletin® Version 3.8.2 Copyright ©2000 - 2011, Jelsoft Enterprises Ltd. Top Copyright © 2003-2009, LeckMedia, LLC - Republishing full content from our feeds is not permitted without explicit permission of the LeckMedia, LLC."
"Mobility Site","Ces 2011","2011-01-13T19:50:28Z","2011-01-13T19:50:28Z","www.mobilitysite.com","http://www.mobilitysite.com/boards/mobility-site-news/282708-ces-2011-a.html","Mobile News, Reviews, and Views.","Mobility Site News","News Boy","Join Date: Apr 2005 Posts: 1,984 You may not post new threads You may not post replies You may not Powered by vBulletin® Version 3.8.2 Copyright ©2000 - 2011, Jelsoft Enterprises Ltd. Top Copyright © 2003-2009, LeckMedia, LLC - Republishing full content from our feeds is not permitted without explicit permission of the LeckMedia, LLC."
"Deutsche Welle: DW-WORLD.DE","France comes under fire for its anti-terrorism policy in West Africa","2011-01-13T20:22:00Z","2011-01-13T20:22:00Z","www.dw-world.de","http://www.dw-world.de/dw/article/0,,14766065,00.html?maca=en-rss-en-all-1573-rdf","Deutsche Welle: DW-WORLD.DE","Europe","","| 13.01.2011 France comes under fire for its anti-terrorism policy in West Africa Großansicht des Bildes mit der Bildunterschrift: France insists that terrorism must be met with force Al Qaeda has claimed responsibility for the kidnapping of two Frenchmen who died last Saturday in a failed rescue attempt. In France meanwhile Sarkozy's policy in West Africa is coming under increased criticism. Al Qaeda on Thursday confirmed it was behind the abduction of the two Frenchmen who died during a failed rescue attempt by the French military over the weekend. Special forces had on Saturday tried to rescue them from the hands of their - then still unknown - kidnappers. Yet as President Nicolas Sarkozy's government is warning all tourists not to visit Niger, Mauritania or Mali, French policy in West Africa is coming under increasing criticism from within France. Members of the French tourist industry go as far as saying that in fact it's French armed intervention against al Qaeda terrorists in the region that is to blame for French citizens being in grave danger right across West Africa. Losing the battle for hearts and minds Großansicht des Bildes mit der Bildunterschrift: Visiting the Sahara in Niger is getting increasingly dangerous ""The operations of al Qaeda in the Maghreb are going to change into a general attack against the French, not only in the desert regions but as far south as Burkina Faso and Senegal,"" warned Maurice Freund, head of travel company Point Afrique. Three years ago his company was taking some 72,000 French tourists to the region. Now, he is thinking about giving up his business - and he blames the French government for aggravating the situation. ""Armed intervention and the presence of the French army in the region is seen by local people as an act of aggression, as an attack against their own dignity. So we are going to be picked off like rabbits in Ouagadougou, in Bamako, maybe even in Dakar,"" he said. The failed rescue attempt on Saturday was just the latest in a string of French military engagements against al Qaeda in the Maghreb in support of local authorities there. The French army mobilized reconnaissance aircrafts, helicopters and special forces commandos stationed to free the aid worker and the friend visiting him and Paris insists that there's no alternative to its approach. Finding the right approach ""What is the right thing to do when you're confronted with terrorism?"" Foreign Ministry spokesman Bernard Valero asked. Großansicht des Bildes mit der Bildunterschrift: The hostages died in a rescue attempt near the border to Mali ""You have to resist! You have to stand up to them! When our fellow citizens are kidnapped, it's not possible to do nothing! Shaking hands and negotiating with terrorists is unacceptable and ineffective from a security perspective. There has been no government mistake."" Meanwhile, initial conclusions from the autopsies carried out on the two hostages' bodies have shed doubt on the French government's claim that both were executed by Al Qaida at the start of the French military intervention. Though one of the men was killed by a bullet shot at close range to the head, the other may have died from burns sustained when the vehicle he was being driven in was hit by a French missile. The French government has said two of its citizens kidnapped from a restaurant in the capital Niamey in the African country of Niger have been killed during a rescue operation. (09.01.2011) France rejects demands from al Qaeda hostage-takers France has rejected demands from an al Qaeda cell calling for the country to pull out its troops from Afghanistan. The hostage-takers said France must negotiate the release of hostages with Osama bin Laden directly. (19.11.2010) France on alert for potential terror threat France is on alert for possible terrorism after intelligence suggested a female suicide bomber was planning an attack. The French interior minister says the country is facing a ""real terrorist threat."" (21.09.2010) Islamic terrorism finding a safehaven in Africa Since the attacks of September 11, the West has focused its counterterrorism efforts in Central Asia. But with al Qaeda under pressure in Pakistan and Afghanistan, Islamic militants have found a new home in Africa. (24.08.2010) We're sorry, due to legal issues this content can not be transmitted as live stream. If you are inside the United States, it is still possible for you to enjoy DW-TV. For more information, please click Italians hard hit by plastic bag ban Analysis, background and commentary on issues tied to dialogue with the Islamic World."
"Deutsche Welle: DW-WORLD.DE","France comes under fire for its anti-terrorism policy in West Africa","2011-01-13T20:22:00Z","2011-01-13T20:22:00Z","www.dw-world.de","http://www.dw-world.de/dw/article/0,,14766065,00.html?maca=en-rss-en-all-1573-rdf","Deutsche Welle: DW-WORLD.DE","Europe","","| 13.01.2011 France comes under fire for its anti-terrorism policy in West Africa Großansicht des Bildes mit der Bildunterschrift: France insists that terrorism must be met with force Al Qaeda has claimed responsibility for the kidnapping of two Frenchmen who died last Saturday in a failed rescue attempt. In France meanwhile Sarkozy's policy in West Africa is coming under increased criticism. Al Qaeda on Thursday confirmed it was behind the abduction of the two Frenchmen who died during a failed rescue attempt by the French military over the weekend. Special forces had on Saturday tried to rescue them from the hands of their - then still unknown - kidnappers. Yet as President Nicolas Sarkozy's government is warning all tourists not to visit Niger, Mauritania or Mali, French policy in West Africa is coming under increasing criticism from within France. Members of the French tourist industry go as far as saying that in fact it's French armed intervention against al Qaeda terrorists in the region that is to blame for French citizens being in grave danger right across West Africa. Losing the battle for hearts and minds Großansicht des Bildes mit der Bildunterschrift: Visiting the Sahara in Niger is getting increasingly dangerous ""The operations of al Qaeda in the Maghreb are going to change into a general attack against the French, not only in the desert regions but as far south as Burkina Faso and Senegal,"" warned Maurice Freund, head of travel company Point Afrique. Three years ago his company was taking some 72,000 French tourists to the region. Now, he is thinking about giving up his business - and he blames the French government for aggravating the situation. ""Armed intervention and the presence of the French army in the region is seen by local people as an act of aggression, as an attack against their own dignity. So we are going to be picked off like rabbits in Ouagadougou, in Bamako, maybe even in Dakar,"" he said. The failed rescue attempt on Saturday was just the latest in a string of French military engagements against al Qaeda in the Maghreb in support of local authorities there. The French army mobilized reconnaissance aircrafts, helicopters and special forces commandos stationed to free the aid worker and the friend visiting him and Paris insists that there's no alternative to its approach. Finding the right approach ""What is the right thing to do when you're confronted with terrorism?"" Foreign Ministry spokesman Bernard Valero asked. Großansicht des Bildes mit der Bildunterschrift: The hostages died in a rescue attempt near the border to Mali ""You have to resist! You have to stand up to them! When our fellow citizens are kidnapped, it's not possible to do nothing! Shaking hands and negotiating with terrorists is unacceptable and ineffective from a security perspective. There has been no government mistake."" Meanwhile, initial conclusions from the autopsies carried out on the two hostages' bodies have shed doubt on the French government's claim that both were executed by Al Qaida at the start of the French military intervention. Though one of the men was killed by a bullet shot at close range to the head, the other may have died from burns sustained when the vehicle he was being driven in was hit by a French missile. The French government has said two of its citizens kidnapped from a restaurant in the capital Niamey in the African country of Niger have been killed during a rescue operation. (09.01.2011) France rejects demands from al Qaeda hostage-takers France has rejected demands from an al Qaeda cell calling for the country to pull out its troops from Afghanistan. The hostage-takers said France must negotiate the release of hostages with Osama bin Laden directly. (19.11.2010) France on alert for potential terror threat France is on alert for possible terrorism after intelligence suggested a female suicide bomber was planning an attack. The French interior minister says the country is facing a ""real terrorist threat."" (21.09.2010) Islamic terrorism finding a safehaven in Africa Since the attacks of September 11, the West has focused its counterterrorism efforts in Central Asia. But with al Qaeda under pressure in Pakistan and Afghanistan, Islamic militants have found a new home in Africa. (24.08.2010) We're sorry, due to legal issues this content can not be transmitted as live stream. If you are inside the United States, it is still possible for you to enjoy DW-TV. For more information, please click Italians hard hit by plastic bag ban Analysis, background and commentary on issues tied to dialogue with the Islamic World."
"Breaking News - The Post Chronicle","Tucson Says Farewell To Youngest Shooting Victim Christina Green","","","www.postchronicle.com","http://www.postchronicle.com/news/breakingnews/article_212343345.shtml?ref=rss","http://www.postchronicle.com/news/breakingnews","","","Tucson Says Farewell To Youngest Shooting Victim Christina Green by Brad Poole and Tim Gaynor Hundreds of people gathered to say farewell on Thursday to a bright 9-year-old who loved to dance and play baseball, but was gunned down when she went to learn about politics from her congresswoman. Christina Green, the youngest victim of a shooting spree last Saturday that claimed six lives and left Rep. Gabrielle Giffords battling for her life, will be the first to be buried in a funeral on Thursday. Hundreds of mourners began lining both sides of the road outside St. Elizabeth Ann Seton Catholic Church in north Tucson ahead of her funeral at 1 p.m.. A church bell signaling noon broke the quiet as mourners waited for the service. ""She showed an appreciation for life uncommon for a girl her age,"" President Barack Obama said in an emotional address to thousands of people crammed into a Tucson sports stadium to mourn on Wednesday evening. ""I want to live up to her expectations, I want our democracy to be as good as Christina imagined it, I want America to be as good as Christina imagined it,"" he said to applause and roars of approval. The lively youngster was born on September 11 2001, the day of suicide aircraft attacks on New York. A stars and stripes flag pulled from the rubble of the World Trade Center in the days after Christina's birth was brought in to hang between two fire truck ladders. The top student, who was elected to her class council, was the granddaughter of former pro baseball manager Dallas Green. She loved dancing, gymnastics and swimming, and hoped to be the first woman to play major-league baseball. Family members escorted the small coffin into the church in silence, and the Bishop of Tucson, Bishop Gerald Kincana, is to give a blessing inside the church, which is closed to the news media. Her funeral will be followed on Friday by that of federal judge John Roll, who was gunned down alongside her after he called in at the ""Congress on the corner"" event to see Giffords, who was a friend. Police arrested a 22-year-old college dropout, Jared Lee Loughner, for the killings. He made his first court appearance on Monday, and faces five federal charges, including the attempted assassination of Giffords. The congresswoman remains in critical condition in hospital, where five other patients are being treated for gunshot wounds. Giffords opened here eyes on Wednesday, during a visit by two close friends from the U.S. Congress. (Editing by Greg McCune)"
"Breaking News - The Post Chronicle","New York Cabs Sued For Lack Of Wheelchair Accessibility","","","www.postchronicle.com","http://www.postchronicle.com/news/breakingnews/article_212343344.shtml?ref=rss","http://www.postchronicle.com/news/breakingnews","","","New York Cabs Sued For Lack Of Wheelchair Accessibility by Staff New York City taxis are facing a class-action lawsuit accusing the fleet of failing to provide enough access to passengers who use wheelchairs. The lawsuit, the first of its kind in the United States, was filed in Manhattan federal court on Thursday on behalf of a coalition that advocates for rights of people with disabilities. According to the suit, only about 1.8 percent of New York City's 13,237 taxis are accessible to wheelchair-bound passengers. The lawsuit seeks no damages but aims to have the court acknowledge that the city's Taxi and Limousine Commission violates local and federal laws by not providing more wheelchair-accessible taxis. The suit comes as the commission is poised to select a new model which will replace the city's entire fleet of taxicabs. Among the requirements specified by the city for the new model is wheelchair accessibility. Chris Noel, a member of the coalition of groups and individuals that filed the suit, said in a statement he has faced extreme difficulties getting cabs since he became handicapped. ""I have been using a wheelchair for almost ten years. I remember how easy it was for me to hail a cab when I was not using my wheelchair. But now, because there are so few taxis I can use, I often wait for an hour or more before an accessible taxi even passes me,"" he said. TLC spokesman Allan Fromberg said the commission had made an effort to accommodate handicapped passengers but said it was not bound by law to do so. ""We have made tremendous strides over the years in improving transportation options for persons with disabilities, which we continue to prioritize,"" he said. ""At the same time, no federal or local law requires that taxicabs be accessible to people with wheelchairs, and, in fact, the ADA (Americans with Disabilities Act) specifically exempts taxicabs from the requirement."" The suit notes that the taxi commission is not legally bound to choose a wheelchair-accessible model for the new fleet, but the transition would be ""a golden opportunity for the TLC to introduce accessible cars with minimal administrative burden and at minimal cost to drivers and medallion holders,"" said Edith Prentiss of the Taxi's for All Campaign. (Reporting by Bernd Debusmann Jr., Editing by Greg McCune)"
